episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,onsite_shortage_pressure,depot_shortage_pressure,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
23,0.9215415219663509,-3.1838543502219125,-0.3614380891241748,-0.15440612461751557,-0.07479180547172476,-0.10964232125046558,-0.07410514445842414,-0.05756653131267377,-0.06847200019982946,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9284193011647255,-3.205307081883867,-0.37261302090336756,-0.15896705972648628,-0.0772028448192325,-0.11279973170244124,-0.07626976273148121,-0.05918296060537482,-0.07028781762774525,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.9219908343442512,-3.2280870559505943,-0.38447615201850205,-0.16390332778017247,-0.0796130590021207,-0.1164084615210586,-0.07848826581948604,-0.06111044930381733,-0.07265781952058988,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9275393898759638,-3.246221472435477,-0.3941042612519737,-0.16817434377364762,-0.08146207986471929,-0.11950926289760656,-0.08045303028767632,-0.06261224935807233,-0.07446563585027435,0.00561,0.01,0.0,0.97,100,11,1,12
27,0.9277274845237303,-3.266670251021569,-0.4048661003025343,-0.17253254024692286,-0.08383314844415728,-0.12249377092332209,-0.08249408273723241,-0.06420731742516475,-0.07600461911097343,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.925666694708505,-3.286483564823759,-0.4151439586725389,-0.17683208173721868,-0.08594079180242935,-0.12543275675136875,-0.0844239208063063,-0.06564849750750289,-0.07801384890984439,0.005426,0.01,0.0,0.97,100,11,1,12
29,0.9240461670278716,-3.3071977136646358,-0.42601487106500835,-0.18131342651059063,-0.08824955915186784,-0.1285460937187268,-0.08650497277021317,-0.06736729323778594,-0.07967997280751875,0.005339,0.01,0.0,0.97,100,10,1,11
30,0.9239713470939707,-3.327374766566266,-0.4365751955397708,-0.18561392382468087,-0.09046745170928713,-0.13147353839755033,-0.08859274823181633,-0.06904684731425405,-0.08134820876684182,0.005255,0.01,0.0,0.97,100,10,1,11
31,0.9291799517519442,-3.3458387493544812,-0.4461369847578192,-0.18954060945032492,-0.0925171788705295,-0.13421325773218737,-0.09056238666631246,-0.0705952673720085,-0.08289556082346364,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.9230187156333551,-3.365787701390289,-0.4564745486647173,-0.19379717425006318,-0.0946346616646394,-0.13704703073243002,-0.09250110139087238,-0.07248676520196143,-0.08485116477395131,0.005094,0.01,0.0,0.97,100,10,1,11
33,0.9255578505400738,-3.3812199315277898,-0.4647810043492782,-0.19761480121667507,-0.0963013205892101,-0.13975454096204126,-0.09442597608381141,-0.07396222364350341,-0.08654814965568043,0.005017,0.01,0.0,0.97,100,11,1,12
34,0.9282278269584099,-3.3992048662640597,-0.4742552719275497,-0.20151355758999762,-0.09828985489443204,-0.14226975148567458,-0.09624618453776472,-0.07557771969822986,-0.08805917408547133,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9277787176450685,-3.4167873932582866,-0.4832730420715714,-0.20515986195435798,-0.10020105177215062,-0.14471144585925813,-0.09797172943956807,-0.07669330341615452,-0.08965827068141571,0.00487,0.01,0.0,0.97,100,11,1,12
36,0.9257272052372275,-3.4347062316207153,-0.49272171483744864,-0.20900267227662847,-0.10222407034631142,-0.14741286222460306,-0.09984301589749174,-0.07793423178553517,-0.09123278444463608,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9265028521281263,-3.4521776174792516,-0.5017045104067521,-0.21259919095315394,-0.10421233146191053,-0.1498749870447544,-0.10174432028631085,-0.07924997907005497,-0.09246378547864906,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9250226138229086,-3.466615211694924,-0.5093333899349227,-0.21611379906362915,-0.10575560921562067,-0.15254240496196309,-0.10345546256179947,-0.08061402646477538,-0.09419370392111488,0.004665,0.01,0.0,0.97,100,11,1,12
39,0.9191622790838057,-3.4795931423748203,-0.5165616146276257,-0.2198250310474249,-0.10684999333774561,-0.15534997842831494,-0.10529784295540842,-0.08221919971053529,-0.09584278967145755,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9238307274536592,-3.482066991474291,-0.5173826421965356,-0.22179394196468097,-0.10699570886224744,-0.1576870020815691,-0.1069943204276737,-0.08306779057128043,-0.09626996368844043,0.004537,0.01,0.0,0.97,100,11,1,12
41,0.9168151410226242,-3.493977598729336,-0.5234254256954955,-0.22490535925035812,-0.10821584283922775,-0.16041632988420332,-0.10895937843085389,-0.08435842293183908,-0.09816365849676245,0.004476,0.01,0.0,0.97,100,11,1,12
42,0.9220918538384177,-3.5110943326257296,-0.5324483979777861,-0.22873768414534082,-0.11008306829292976,-0.16297112713177417,-0.11072286466398057,-0.08559463990492579,-0.09994485866808252,0.004417,0.01,0.0,0.97,100,11,1,12
43,0.9195975721293755,-3.5291647679888403,-0.5419476234817272,-0.23267258307201844,-0.11210169143727416,-0.16561614461703825,-0.11263981969938267,-0.08686622384404112,-0.10172602963867358,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9261922722320006,-3.543874802741458,-0.5496274073508303,-0.23598183462515543,-0.11365616255906527,-0.16787393332384887,-0.11421356215152646,-0.08827899016392131,-0.10306608434068844,0.004302,0.01,0.0,0.97,100,11,1,12
45,0.9178227311708621,-3.5569174021396077,-0.556446328765678,-0.23926188313676128,-0.11512852268757258,-0.17047526055721107,-0.11603898293634658,-0.08926041469782857,-0.10433575358860663,0.004247,0.01,0.0,0.97,100,11,1,12
46,0.9267871223178485,-3.5722749312058375,-0.5644398017420467,-0.2425947684059617,-0.11677413288789039,-0.1728652253774976,-0.1176115449551471,-0.09060410444202821,-0.10536517062324238,0.004194,0.01,0.0,0.97,100,10,1,11
47,0.9236340469763777,-3.588176658400383,-0.5726414880623127,-0.24590181356673027,-0.11849687162309,-0.17502752432048954,-0.11926242921076492,-0.09187235686203571,-0.10666795229306308,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.9197943101375718,-3.6026852717938835,-0.5802892382350338,-0.24933755499501117,-0.12004700138436077,-0.17752924733415718,-0.12095054238354826,-0.09324394638376532,-0.10820902328325088,0.00409,0.01,0.0,0.97,100,11,1,12
49,0.9206186433554677,-3.6172199556402926,-0.5882121446183954,-0.252774323282765,-0.12176371936025145,-0.1799457405122808,-0.12270560784229663,-0.09430818239986255,-0.11006041002717351,0.004041,0.01,0.0,0.97,100,11,1,12
50,0.9270478460066793,-3.6312934832210337,-0.5955709485613877,-0.2558561535567622,-0.12335190044806645,-0.1820727562565113,-0.12422111665686685,-0.09541181304574463,-0.1114617738225466,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9221454160149352,-3.646471329533295,-0.6034864414816982,-0.25927617828485344,-0.12493601403754978,-0.1844318366565444,-0.12582856543789941,-0.09677205079223387,-0.11329261244912617,0.003945,0.01,0.0,0.97,100,11,1,12
52,0.9303655471398931,-3.659814462448184,-0.610392670847345,-0.26215947645094434,-0.12633744005292594,-0.1864439159931405,-0.12724928425649554,-0.0978398805921695,-0.11437901516438023,0.003898,0.01,0.0,0.97,100,11,1,12
53,0.9212445633991302,-3.6707409671320828,-0.6163898899319221,-0.26513289242074983,-0.12750597634189617,-0.1887446166838213,-0.12871549658986225,-0.09885983319312222,-0.11598284838646408,0.003853,0.01,0.0,0.97,100,11,1,12
54,0.9212645992750705,-3.685360346568819,-0.6242359685531929,-0.26856840749631583,-0.1290621591329241,-0.1911154317278453,-0.13030914887019035,-0.09996743784881677,-0.11754786811942254,0.003809,0.01,0.0,0.97,100,11,1,12
55,0.9234028301096877,-3.6998319268616893,-0.6318268787152943,-0.2717077063843508,-0.13068349964714954,-0.19324811633794592,-0.13181306787600475,-0.1013473278304751,-0.11867812856209367,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.9269458044909674,-3.713209200023668,-0.6387943270032103,-0.2745610518168658,-0.1321195867504961,-0.19520389097974067,-0.13305372139108226,-0.10261784146456591,-0.12000857772493527,0.003724,0.01,0.0,0.97,100,10,1,11
57,0.9197130453730242,-3.728105399734702,-0.6464293790531707,-0.27777937316530005,-0.1337001107319749,-0.19745236659503188,-0.13455637436084178,-0.10405020331162601,-0.12123852450659368,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9221615261786704,-3.7422915379348596,-0.653917430666584,-0.28087081908346684,-0.13537693497650607,-0.19956097620901223,-0.13609987099105916,-0.10537564135584672,-0.12230161142191048,0.003642,0.01,0.0,0.97,100,10,1,11
59,0.9228652927574392,-3.7530206261815358,-0.6597318422202324,-0.28349369798227775,-0.13658575342110485,-0.20146526541911666,-0.13751643007798192,-0.10631518643644877,-0.12342420296666938,0.003602,0.01,0.0,0.97,100,11,1,12
60,0.9254587351711189,-3.7659436943405793,-0.6664852821713122,-0.28630237094216077,-0.13803664012978503,-0.20345646256523386,-0.13888208217906697,-0.10747696215667273,-0.12439401065014512,0.003564,0.01,0.0,0.97,100,10,1,11
61,0.9241194679160043,-3.7793149637278365,-0.6736048285473805,-0.28926540733804873,-0.13955392665762886,-0.20543935397778632,-0.14031178971838879,-0.10859411676072359,-0.12552762132590997,0.003526,0.01,0.0,0.97,100,10,1,11
62,0.9248672790090167,-3.7895306105635473,-0.6790113893869032,-0.2917824746919111,-0.1405254719240751,-0.2073553774259888,-0.1415636807387304,-0.10940731999203629,-0.12683664214967455,0.003489,0.01,0.0,0.97,100,11,1,12
63,0.9244749393356204,-3.802518596894328,-0.6859414614689168,-0.2946806437697796,-0.1420053107037376,-0.2092923721168542,-0.14295003772281176,-0.11038788480319969,-0.12812240157144014,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.9238576134026651,-3.814980044382404,-0.6924572311470877,-0.29741536887081454,-0.1433309517939226,-0.21114167312985238,-0.1441583559789432,-0.11133624393883498,-0.12948140551554743,0.003417,0.01,0.0,0.97,100,11,1,12
65,0.9212622240145176,-3.827419348881938,-0.6990985133210125,-0.30019246732441884,-0.1447711264897662,-0.21304005946219548,-0.14551926134560056,-0.11231427100232565,-0.13053849269606493,0.003382,0.01,0.0,0.97,100,11,1,12
66,0.9276902160229619,-3.8393212882897374,-0.7051895812369064,-0.3026528139673257,-0.14611252059440005,-0.21476889899791238,-0.14676689062286424,-0.11316788662010001,-0.13141358307555667,0.003348,0.01,0.0,0.97,100,10,1,11
67,0.9295185397618003,-3.8507092448776437,-0.7111562571309437,-0.30509648598746847,-0.1474315412911999,-0.21649303231001543,-0.14795537406021936,-0.11402759949883168,-0.13224515610884044,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9161868631762711,-3.8645150330082116,-0.718641776395543,-0.3081644299709277,-0.14909264280446297,-0.21852584669090303,-0.1493902006325827,-0.11495727145755909,-0.13364775914104368,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9304594137069876,-3.8755675761894,-0.7244287006521198,-0.31058947153712324,-0.15032087131626526,-0.2202099066886866,-0.1505796415632156,-0.1159263320910602,-0.13461456429932084,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.9279318775819914,-3.8868858568006557,-0.7302388388543054,-0.3129470781763191,-0.15151817001909784,-0.22192503690607718,-0.15173455258846003,-0.11683425851067925,-0.13542473339181577,0.003219,0.01,0.0,0.97,100,10,1,11
71,0.9314120459370455,-3.8963314219071896,-0.7350821868185899,-0.31503408646032005,-0.1525237570008979,-0.2234950504559271,-0.1527828877323193,-0.11762215609611999,-0.13612067811852943,0.003188,0.01,0.0,0.97,100,11,1,12
72,0.922137327837539,-3.9060832333567586,-0.7402601349094211,-0.31744742877821064,-0.15359566848868686,-0.22524949953724535,-0.15404586532241768,-0.11856185189263639,-0.13719753597540937,0.003157,0.01,0.0,0.97,100,11,1,12
73,0.9235797560482513,-3.9178770392487237,-0.7464746055420829,-0.3201001988944451,-0.1548476455665028,-0.22703058149170258,-0.15522010121691704,-0.11972630036261643,-0.13830321378053298,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9262809135013608,-3.9280236934286386,-0.751893851761358,-0.32241851316550474,-0.15607551306613973,-0.22865750512106997,-0.15638809545464585,-0.1204676596735577,-0.13920227181649097,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9285883949779437,-3.9385994896192336,-0.7573866218691983,-0.32473392145519947,-0.1571604326084904,-0.23027622797274602,-0.15749031573923492,-0.12150252493980286,-0.14010622062612296,0.00307,0.01,0.0,0.97,100,10,1,11
76,0.9292750866227325,-3.9488954867701755,-0.7627456184251973,-0.32689469526433995,-0.1582923991827925,-0.231799606878638,-0.15849304827616859,-0.12227730620071706,-0.14100994470292583,0.003042,0.01,0.0,0.97,100,10,1,11
77,0.9206960990422799,-3.9566805136643097,-0.7667713193763637,-0.3290222138982971,-0.15905151777335877,-0.23356366578065105,-0.1597298287467328,-0.1230502890498397,-0.14201674405013337,0.003014,0.01,0.0,0.97,100,11,1,12
78,0.9275121344955577,-3.9672248841776208,-0.7722912480675197,-0.33130027653104815,-0.16025586974698328,-0.23510317707183861,-0.16075050241483346,-0.12372181544952271,-0.14289267276292197,0.002987,0.01,0.0,0.97,100,10,1,11
79,0.9253444789914539,-3.9779340904821745,-0.777878317186698,-0.3336347238880566,-0.16141971078180162,-0.23669529563736996,-0.16184407911929516,-0.12455898964076713,-0.1439134794879678,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.9271683288002418,-3.987913885409809,-0.783051833130584,-0.3358062459733978,-0.16245461580854625,-0.2382365496514196,-0.16283779546702234,-0.1255277462605591,-0.14493094836979034,0.002934,0.01,0.0,0.97,100,11,1,12
81,0.9280323450134771,-3.9980222738141347,-0.7883443368029832,-0.33794248027976803,-0.16363781522559187,-0.23970227550735823,-0.16388609316397307,-0.12620574847197571,-0.1458443819800302,0.002909,0.01,0.0,0.97,100,10,1,11
82,0.9270950896993178,-4.005738586212335,-0.7924097609637968,-0.3399701167206384,-0.16449207124160387,-0.24131789714019777,-0.16499729789095535,-0.12683294279225515,-0.1466157156513451,0.002883,0.01,0.0,0.97,100,11,1,12
83,0.922119846660838,-4.01572940388457,-0.7977555324075437,-0.342304215470296,-0.16561281091344984,-0.24301777883327305,-0.166120750002619,-0.12756704991242912,-0.14749975556498535,0.002859,0.01,0.0,0.97,100,11,1,12
84,0.9266225781795221,-4.02601728484572,-0.8030071495157687,-0.3444433449293864,-0.1666898767748961,-0.24450075040514946,-0.167094329698401,-0.1283628927359189,-0.148398350529843,0.002834,0.01,0.0,0.97,100,10,1,11
85,0.9220649824371792,-4.036731044858416,-0.8085485006327163,-0.34678998403057915,-0.16778751952786047,-0.24613589286745238,-0.16810869092021444,-0.12928917352795716,-0.14929875836680995,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.9247280810411823,-4.046419138559011,-0.8136643483087582,-0.3490125132884711,-0.16880545762674312,-0.24759689119955786,-0.16911471773848313,-0.13019250264082022,-0.15022522015067943,0.002787,0.01,0.0,0.97,100,11,1,12
87,0.9281633338934633,-4.056027701604136,-0.8186084411910733,-0.3510990022772812,-0.1697888628882892,-0.24904466091357563,-0.17007582514123526,-0.130928092535079,-0.15128177741399654,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.92669626728344,-4.06574375180153,-0.8235869904945737,-0.3531570402605184,-0.17084635272135315,-0.25049315276140166,-0.1710686298299161,-0.1317616990094849,-0.15218838989535188,0.002741,0.01,0.0,0.97,100,10,1,11
89,0.9205339363461473,-4.067865771346641,-0.8246921048552753,-0.3544618271833855,-0.1709713519551312,-0.25165479152843356,-0.1720834228632818,-0.13252040708525864,-0.15247354255430884,0.002718,0.01,0.0,0.97,100,11,1,12
90,0.9249483705233466,-4.077042720571522,-0.8296343918772108,-0.3565338956900637,-0.17205486202077538,-0.2530545649956247,-0.17311092887188895,-0.1332131219056246,-0.15325031048491033,0.002696,0.01,0.0,0.97,100,11,1,12
91,0.9288324254829651,-4.084969501727466,-0.8338075999009423,-0.35840388616678714,-0.17291266087889634,-0.25436475499116945,-0.1740503701447265,-0.1340732829496258,-0.15403632475654855,0.002674,0.01,0.0,0.97,100,11,1,12
92,0.9321220954866701,-4.093488559525032,-0.8382686641220887,-0.3602233468915506,-0.1738816037013479,-0.2556241902037989,-0.1749476118132302,-0.13471696696388466,-0.15469643829920315,0.002653,0.01,0.0,0.97,100,10,1,11
93,0.9231373466590902,-4.10074148936597,-0.8422797922163715,-0.3621743520428179,-0.17468954465149936,-0.2570778763542979,-0.1759431854729625,-0.13549591057432295,-0.15547195786974372,0.002632,0.01,0.0,0.97,100,11,1,12
94,0.9315680763891241,-4.1088532351791045,-0.8464367286816264,-0.36395510984567586,-0.17549794171279248,-0.2583588796725354,-0.17682365181346907,-0.13613872254908488,-0.15623262845094732,0.002611,0.01,0.0,0.97,100,11,1,12
95,0.9311200952844274,-4.117164203392044,-0.8506741931230788,-0.365765735002074,-0.1763749351511606,-0.2596369069876354,-0.17771191873056602,-0.13676834005434726,-0.15694804879541052,0.002591,0.01,0.0,0.97,100,11,1,12
96,0.9213232686559603,-4.126923701231875,-0.8557697334919764,-0.36788241126985594,-0.17741985613555897,-0.261092183666714,-0.17867978605330587,-0.13751153651860282,-0.15799702183656045,0.002571,0.01,0.0,0.97,100,11,1,12
97,0.9197407525563746,-4.134258626047863,-0.8599426040633625,-0.3699195564999709,-0.17825264071180927,-0.2627056066428591,-0.1797511276341191,-0.13825541243202144,-0.15897660141826694,0.002551,0.01,0.0,0.97,100,11,1,12
98,0.9266965428937259,-4.143177483110812,-0.864638057412003,-0.37188783987945684,-0.17923385445119708,-0.26405668895389817,-0.18058980159275945,-0.1389787202911068,-0.15986616078199703,0.002532,0.01,0.0,0.97,100,10,1,11
99,0.9278563563987465,-4.151603211514213,-0.8690430786277594,-0.3737425339561358,-0.1801284567595885,-0.2653935456513818,-0.1815042652152054,-0.13969137706334459,-0.16076118132036463,0.002513,0.01,0.0,0.97,100,11,1,12
100,0.9201929657636002,-4.161432530387927,-0.8742599898294774,-0.37595859457899744,-0.18124441529438712,-0.26695077624009844,-0.1824943518820018,-0.14050323021205416,-0.16157039801881437,0.002494,0.01,0.0,0.97,100,10,1,11
101,0.9223494443881515,-4.170775474212245,-0.8791760295161477,-0.37802249415894956,-0.18227883342226361,-0.26832646608717503,-0.18353252828876476,-0.1413233602962898,-0.16227415970152761,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9292191140237668,-4.178812758096234,-0.8833696460111692,-0.3798447112726469,-0.18313242138128216,-0.2696480796111338,-0.18440346650526035,-0.14198724239703014,-0.16307586631712076,0.002457,0.01,0.0,0.97,100,11,1,12
103,0.9327100275584561,-4.185044783431713,-0.886555034758212,-0.38134231241912253,-0.18378766518708953,-0.27080167241924596,-0.1851994677133012,-0.1424453271917953,-0.16364099176168717,0.002439,0.01,0.0,0.97,100,11,1,12
104,0.92611721304603,-4.1933999383529805,-0.8909308569866046,-0.38320887202464865,-0.18469356823294344,-0.2720516702114597,-0.18614217727308235,-0.14315237681606482,-0.1644654830850851,0.002421,0.01,0.0,0.97,100,11,1,12
105,0.9249424174650333,-4.201837967516949,-0.8953933737601426,-0.38507682662749165,-0.1856285136705112,-0.2734004839853291,-0.18697383014558075,-0.14386901785922482,-0.16539749058786185,0.002404,0.01,0.0,0.97,100,11,1,12
106,0.9242242326879175,-4.210518961860499,-0.899894861681643,-0.38696726788744157,-0.18651781097655556,-0.27469641004116857,-0.1877960178400588,-0.14459746815896127,-0.16647368392707323,0.002386,0.01,0.0,0.97,100,10,1,11
107,0.9317950285248574,-4.217810284914012,-0.9036062830397705,-0.3885098225876591,-0.18728076980239125,-0.27587429647557404,-0.18856022525028202,-0.14512220101862525,-0.16697418999723082,0.002369,0.01,0.0,0.97,100,11,1,12
108,0.9242346046914279,-4.2257811959458484,-0.9077628052050566,-0.3903474792255537,-0.18811548356777977,-0.2772245886489639,-0.1893986362968768,-0.14579125212513563,-0.16786702035419004,0.002352,0.01,0.0,0.97,100,11,1,12
109,0.9285594302224014,-4.232686474345227,-0.9113867215203537,-0.39192709831946687,-0.1888165972917736,-0.2783249866079778,-0.1902280452829057,-0.1464286605219271,-0.16855550313433096,0.002336,0.01,0.0,0.97,100,11,1,12
110,0.9273141122913505,-4.24076162248334,-0.9155504815763,-0.3936444750447941,-0.1896779674412731,-0.2795317008745397,-0.1910353055352272,-0.1471009914531646,-0.16940051100814493,0.00232,0.01,0.0,0.97,100,10,1,11
111,0.9267920432769761,-4.247928615796231,-0.9192066748753795,-0.39528869342555745,-0.19040068402485494,-0.28073397554911833,-0.19186449476676384,-0.1477487065304333,-0.17004760452524753,0.002304,0.01,0.0,0.97,100,11,1,12
112,0.9221500612529158,-4.254857715687313,-0.9228345041471934,-0.3969814421842109,-0.19111901684316993,-0.2818950557696172,-0.19272711428359107,-0.14840858717321667,-0.17088801439318835,0.002288,0.01,0.0,0.97,100,11,1,12
113,0.9302166281359705,-4.262222109363301,-0.9266028679873496,-0.3985826370354722,-0.19187617296369908,-0.2830862501976504,-0.19352521956030716,-0.14909036364734146,-0.1716373937240127,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.9237555876718314,-4.270150561585921,-0.9307414153310346,-0.40035524717088306,-0.1927276333219812,-0.28438257254412064,-0.19438172465678277,-0.14977936271332337,-0.17241734594509914,0.002257,0.01,0.0,0.97,100,11,1,12
115,0.9297232494132347,-4.277584486971309,-0.934617584262451,-0.40198700820498323,-0.1935039675529233,-0.28556517513915175,-0.19512770451910183,-0.15044738541564834,-0.17316560854782387,0.002241,0.01,0.0,0.97,100,10,1,11
116,0.9290263412645845,-4.284964495292025,-0.9384386834369904,-0.4035468333441963,-0.19429973345636273,-0.28662101809250906,-0.19585785690978402,-0.15111013858667932,-0.17369244879114057,0.002226,0.01,0.0,0.97,100,10,1,11
117,0.9238589769442764,-4.292218457507513,-0.9422451867359395,-0.40521569287109643,-0.19507595501825764,-0.28781991703855975,-0.19665766451024208,-0.15189376693064807,-0.17449748082630667,0.002212,0.01,0.0,0.97,100,11,1,12
118,0.9191635875041988,-4.3008697578316974,-0.9469001004720357,-0.4071848327559318,-0.19606196730924055,-0.2891331991181908,-0.1975593990150679,-0.1525706709667118,-0.17537005859590737,0.002197,0.01,0.0,0.97,100,10,1,11
