episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
10,0.9176225584871438,-2.886754044792114,-0.19837398518251254,-0.08616765317973749,-0.036787062781272376,-0.06065379137755345,-0.03593442979413991,-0.0011752935731906286,-0.0009544419706469453,0.007686,0.01,0.0,0.97,100,10,1,11
11,0.9235589394602971,-2.9159165331259245,-0.21315470422919866,-0.0926817655564186,-0.03940483203637647,-0.06533386434515331,-0.0385607314698365,-0.0012936971646012453,-0.0010172805562472732,0.007513,0.01,0.0,0.97,100,11,1,12
12,0.927829663845713,-2.9433520468056837,-0.22718609361904277,-0.09855396355160174,-0.04224390520427576,-0.06931252619978301,-0.04131052434401152,-0.0013575308157856764,-0.0010795807977777138,0.007346,0.01,0.0,0.97,100,10,1,11
13,0.9229993444606929,-2.9722441894208855,-0.24214859195317248,-0.10515577888097948,-0.04497951130152194,-0.07366012552896926,-0.04398663714131773,-0.0014502679880484402,-0.0011505054581216847,0.007188,0.01,0.0,0.97,100,10,1,11
14,0.9272114207109426,-2.9988148965737573,-0.25575298916302225,-0.11084443527846469,-0.04759506155264018,-0.07749850455718896,-0.04627773654163828,-0.0015407398195333476,-0.001192346370438414,0.007035,0.01,0.0,0.97,100,10,1,11
15,0.925285525013836,-3.0085153609737665,-0.26126138459231957,-0.1148921809850174,-0.04852506413471172,-0.08128550339267746,-0.04863858093523586,-0.001604593497180169,-0.0012444294743869538,0.006889,0.01,0.0,0.97,100,11,1,12
16,0.9305240900166138,-3.032587487211448,-0.2735301701878095,-0.120324056826234,-0.05071902031462855,-0.08517833911316992,-0.05080355056512174,-0.0016742300299670606,-0.0012970637123456345,0.006749,0.01,0.0,0.97,100,10,1,11
17,0.9224637314012599,-3.0591673634086236,-0.2871685262231966,-0.1262337671521681,-0.053241343402192054,-0.08920829624267565,-0.05313097433551367,-0.0017727279251580834,-0.0013596511011615565,0.006615,0.01,0.0,0.97,100,10,1,11
18,0.9210561408187758,-3.086015628585375,-0.3009742538670005,-0.13211868993144257,-0.055680781033364914,-0.0932932187878052,-0.05545846243418101,-0.001879566188134594,-0.0014212480753511287,0.006486,0.01,0.0,0.97,100,10,1,11
19,0.9206774828592763,-3.0977001969979945,-0.3071957866779234,-0.13609190824746564,-0.05649766803022288,-0.09713327593637433,-0.05761205905478778,-0.0019614438109295303,-0.0014670511518025814,0.006362,0.01,0.0,0.97,100,11,1,12
20,0.9245101773795525,-3.122348250949029,-0.319635494383484,-0.14143095091758653,-0.05879554072163509,-0.10109323666971767,-0.059923273951414745,-0.002039783876275243,-0.0015307944399478286,0.006242,0.01,0.0,0.97,100,10,1,11
21,0.9205888838006072,-3.1473328582699276,-0.3323577062321521,-0.14712592459104903,-0.06100982275170594,-0.10508179485756634,-0.06228427247465307,-0.002130705000524826,-0.0016086519093153327,0.006127,0.01,0.0,0.97,100,10,1,11
22,0.9280061570379293,-3.169648264485145,-0.34375083387854083,-0.15187187296390353,-0.0632386468782195,-0.10842464012077993,-0.06425093684038531,-0.0021869796368382786,-0.0016500388681899621,0.006016,0.01,0.0,0.97,100,10,1,11
23,0.9225361610303786,-3.1932382066040366,-0.3557209848487027,-0.1569744063403164,-0.06546699074016585,-0.11191102174466937,-0.06655780781092904,-0.00227258830468358,-0.001707938021845854,0.005909,0.01,0.0,0.97,100,10,1,11
24,0.9264559068219634,-3.215337579585816,-0.3669665528139795,-0.16172679043858443,-0.06769013652090689,-0.11519896342670531,-0.06875731622641208,-0.002333999563136376,-0.0017618338632887564,0.005806,0.01,0.0,0.97,100,10,1,11
25,0.9226479309880038,-3.2380150473996316,-0.3783675371748262,-0.16670251227815605,-0.06975557626818178,-0.11868519958104382,-0.07074660994821709,-0.002404741027212707,-0.0018082011096188547,0.005706,0.01,0.0,0.97,100,10,1,11
26,0.9285953737847804,-3.2583292816974896,-0.38866625256105186,-0.17132444832307878,-0.07155489092774311,-0.12195640096677886,-0.07248730646507685,-0.002482730574096079,-0.0018401587962272507,0.00561,0.01,0.0,0.97,100,11,1,12
27,0.925364441190175,-3.279583924262746,-0.39948038062799707,-0.1759596006433401,-0.07351112143687856,-0.12520633895084282,-0.07440873037313044,-0.0025465486843477716,-0.0018818673210349477,0.005517,0.01,0.0,0.97,100,10,1,11
28,0.9263396988306554,-3.299942061349822,-0.4098483030120719,-0.18049412495264866,-0.07540899902531414,-0.1284119322108718,-0.07627723125036151,-0.002614309372696055,-0.0019328633512903858,0.005426,0.01,0.0,0.97,100,10,1,11
29,0.9297918451690943,-3.318159186662504,-0.4190943889228667,-0.18457198641073747,-0.07716727410662026,-0.1312179229190669,-0.07807924190053413,-0.0026757118200363165,-0.001977162213798465,0.005339,0.01,0.0,0.97,100,11,1,12
30,0.92602525801195,-3.3340494175668707,-0.42677520079255477,-0.1881062213032514,-0.0784381840567377,-0.13394409101578067,-0.07972503002440155,-0.002744237031280067,-0.0020180365900487524,0.005255,0.01,0.0,0.97,100,11,1,12
31,0.9284882838200313,-3.3526696378526872,-0.4363390676820414,-0.1922060947324033,-0.08030763161441197,-0.13689244385620292,-0.08155605321307431,-0.0027918661189964993,-0.0020626673655478366,0.005173,0.01,0.0,0.97,100,10,1,11
32,0.9211353814592477,-3.373100808274621,-0.4468188287106776,-0.1968363530000575,-0.08216753346548689,-0.1400134569359934,-0.08338602442870405,-0.0028514898792697417,-0.002117632908926255,0.005094,0.01,0.0,0.97,100,11,0,11
33,0.9322791453628145,-3.389873800525214,-0.45535411424999794,-0.20050411580559585,-0.0837710113248001,-0.14256197061361067,-0.08485448124168092,-0.0029080241240713777,-0.0021531530764828904,0.005017,0.01,0.0,0.97,100,10,1,11
34,0.9247536328712209,-3.4088811552903744,-0.46510669904235064,-0.20463239774129735,-0.08561245132942893,-0.1453661228976266,-0.0865338456112278,-0.0029572548939523734,-0.0021991544379119177,0.004942,0.01,0.0,0.97,100,10,1,11
35,0.9264929791913382,-3.426887088020425,-0.4744120373953935,-0.20860532438063048,-0.08743578479196347,-0.148169002792797,-0.08820573159253245,-0.0030064620222345954,-0.002233567462374213,0.00487,0.01,0.0,0.97,100,10,1,11
36,0.9277012890598637,-3.4442247704343663,-0.4832879253891036,-0.21248758658580702,-0.08908162141767999,-0.15088902888263597,-0.08979835393486792,-0.0030594178784207108,-0.0022755301278794705,0.004799,0.01,0.0,0.97,100,10,1,11
37,0.9288149323252439,-3.4611023162846326,-0.4917610174814434,-0.21611306640862735,-0.090646641082686,-0.1534345239923969,-0.0915062386504875,-0.0031043001027171095,-0.0023222538594517895,0.004731,0.01,0.0,0.97,100,10,1,11
38,0.9260276726188482,-3.476939947604644,-0.49994539053392856,-0.21977401025531063,-0.09221011947028478,-0.15607713224135256,-0.0931109120890898,-0.0031554629269794064,-0.002359540869317364,0.004665,0.01,0.0,0.97,100,11,1,12
39,0.9252657701465509,-3.488271636687696,-0.5059026721162265,-0.2228545121653445,-0.0932652620392148,-0.15869881427281765,-0.09471805860575003,-0.0032018403825543294,-0.002392020460964376,0.0046,0.01,0.0,0.97,100,11,1,12
40,0.9222115400833206,-3.506091918561895,-0.5150888212398081,-0.226813212761462,-0.09497960406665913,-0.16146046330727404,-0.09634980387247606,-0.0032527728476590616,-0.0024317989706659714,0.004537,0.01,0.0,0.97,100,10,1,11
41,0.926681682186439,-3.5225654592168434,-0.5234511204929515,-0.23041779409411006,-0.09651508579762691,-0.16404826771631992,-0.09791219326174791,-0.003297161644690197,-0.0024705436395188077,0.004476,0.01,0.0,0.97,100,10,1,11
42,0.9272376801877305,-3.5386883519748826,-0.5318358736655076,-0.2340780881468944,-0.09812932698502057,-0.16655850674604641,-0.099529664562979,-0.00334521080447026,-0.0025138763088476193,0.004417,0.01,0.0,0.97,100,10,1,11
43,0.9233058950694271,-3.5557850490604146,-0.5407128671517198,-0.23792507598723125,-0.09984116432253023,-0.16926799805593848,-0.10117337233777332,-0.0033897207454784417,-0.0025528984024486387,0.004359,0.01,0.0,0.97,100,10,1,11
44,0.9258234850389742,-3.5718143508792024,-0.5489938707942305,-0.24155396644692587,-0.10136671120639641,-0.17168953539552664,-0.10268355261587245,-0.003438824481816746,-0.0025928352801760338,0.004302,0.01,0.0,0.97,100,11,0,11
45,0.9292236291176916,-3.586761364342818,-0.5566303277924115,-0.2448374580661606,-0.10277836961003846,-0.17399088442295388,-0.10413223230717633,-0.0034784698562472733,-0.002631383295416996,0.004247,0.01,0.0,0.97,100,10,1,11
46,0.9279782575871961,-3.601867127698801,-0.5642557406939976,-0.24812026343236745,-0.1041804614354985,-0.17633568454743048,-0.1054975075055119,-0.0035222899670824094,-0.0026625725106731273,0.004194,0.01,0.0,0.97,100,10,1,11
47,0.9272385870203028,-3.6169215160377304,-0.5721400940627458,-0.2514911479259656,-0.10573921141311128,-0.1785633139687772,-0.10695945511805037,-0.003563180333797542,-0.002692985673153118,0.004141,0.01,0.0,0.97,100,10,1,11
48,0.9190430078803259,-3.632067423388127,-0.5799713889051499,-0.25509226252563505,-0.10719961098878203,-0.18112059521017645,-0.10850959986025524,-0.0036171532572635452,-0.0027299471461522734,0.00409,0.01,0.0,0.97,100,11,1,12
49,0.9221484407833908,-3.647801448691512,-0.588010872426587,-0.2586040464845274,-0.1086737280982561,-0.18358463415954068,-0.10985295432479109,-0.003685991464729556,-0.002770496885994885,0.004041,0.01,0.0,0.97,100,10,1,11
50,0.9268128954302113,-3.655372722463723,-0.5920145858015141,-0.26083218227577853,-0.10946653632936813,-0.18564702131487407,-0.11102994019432556,-0.003724545437487086,-0.00279405940566922,0.003992,0.01,0.0,0.97,100,11,1,12
51,0.9194712144911449,-3.6686474804159435,-0.5991010990788616,-0.2642034503548475,-0.1108556061495398,-0.1882856480556939,-0.11259633462567802,-0.0037744489572302696,-0.002829461509310925,0.003945,0.01,0.0,0.97,100,11,1,12
52,0.9302305966498541,-3.682016185574626,-0.6058952805386484,-0.2671283316579892,-0.11212895159393774,-0.19042554432110065,-0.11380234236903965,-0.0038074216859278628,-0.0028602833351104432,0.003898,0.01,0.0,0.97,100,10,1,11
53,0.9271662763466042,-3.6959778316149237,-0.6128778591532559,-0.27013548662717224,-0.11334834938341133,-0.19245541986599113,-0.1150188277949236,-0.003852924323382648,-0.002892907273195831,0.003853,0.01,0.0,0.97,100,10,1,11
54,0.9235300040273862,-3.710595894767385,-0.6203998067670671,-0.2734907626440679,-0.11463917359558683,-0.19481798959603852,-0.11635971617624172,-0.003911405932756171,-0.0029291375788349267,0.003809,0.01,0.0,0.97,100,10,1,11
55,0.9238884702336096,-3.724976639872817,-0.6278422891234391,-0.2766418988856202,-0.11615388208920344,-0.19697584507931928,-0.11766619727426202,-0.003949704253310394,-0.0029574091089706713,0.003766,0.01,0.0,0.97,100,10,1,11
56,0.927671787945298,-3.7381970444537904,-0.6345177993200782,-0.2795220315255307,-0.11735128412356008,-0.19903622499538856,-0.11881133290399022,-0.003990629534679881,-0.0029958395360834417,0.003724,0.01,0.0,0.97,100,10,1,11
57,0.9204505455825414,-3.7529649703505115,-0.6421231113950596,-0.2828977603933982,-0.11875701377407435,-0.2013551040930131,-0.12011691299504054,-0.004041594308224257,-0.0030324569719296624,0.003682,0.01,0.0,0.97,100,10,1,11
58,0.9226993865030675,-3.7670441474438157,-0.6493126437639113,-0.2860102288845044,-0.12009785728799466,-0.20358688134461692,-0.12148393423005284,-0.004092863440714896,-0.0030715161268425207,0.003642,0.01,0.0,0.97,100,10,1,11
59,0.926899252282816,-3.780049774639667,-0.6559724421208658,-0.28885017797294815,-0.12133880539221664,-0.20557639621598525,-0.12272705253713569,-0.004123861850448178,-0.003108384337898035,0.003602,0.01,0.0,0.97,100,10,1,11
60,0.9248442434070154,-3.7924212854249366,-0.6622924810578732,-0.29161779642839,-0.12253502770441099,-0.20751796181149576,-0.12395130560875853,-0.004161623032437432,-0.003140173812800458,0.003564,0.01,0.0,0.97,100,11,1,12
61,0.9247887559608466,-3.8053157613285147,-0.6691167653996443,-0.2945968905409537,-0.12382581128473391,-0.20954088171127452,-0.12518593616353213,-0.00420467476836897,-0.0031674584606213325,0.003526,0.01,0.0,0.97,100,11,1,12
62,0.923350467683492,-3.818547524370493,-0.675816154936351,-0.29744632687020994,-0.12505883233627113,-0.21149877114504087,-0.1263485887180243,-0.004245296873730311,-0.003199912911757593,0.003489,0.01,0.0,0.97,100,11,0,11
63,0.9254120994059074,-3.831342304926071,-0.6823211590715575,-0.30030874665061624,-0.1262306779408702,-0.21349584758353268,-0.12751663171397254,-0.004282618876286009,-0.0032362211492974807,0.003453,0.01,0.0,0.97,100,10,1,11
64,0.9192262034142019,-3.8452232833397324,-0.6895142135356611,-0.3034225856761531,-0.12755609072425642,-0.21562792310917103,-0.12878145551604608,-0.004337385214768902,-0.003264948769522219,0.003417,0.01,0.0,0.97,100,11,0,11
65,0.919581947104883,-3.8588560581796614,-0.6965445595395676,-0.30645560053615856,-0.1289454494263935,-0.2177202983520545,-0.13010709534009196,-0.004391130358167495,-0.003298028076577709,0.003382,0.01,0.0,0.97,100,10,1,11
66,0.9218322507007738,-3.871905921194798,-0.703199915163689,-0.30932185742857093,-0.13019875490137955,-0.21980046155405322,-0.13134861625126074,-0.004435302310991079,-0.003326193669375708,0.003348,0.01,0.0,0.97,100,10,1,11
67,0.9213873612470056,-3.8848474087496183,-0.7098428240380469,-0.3122356941768096,-0.13144479326142627,-0.22192636530652923,-0.13259725636170144,-0.004481226007920887,-0.003359785331247817,0.003315,0.01,0.0,0.97,100,10,1,11
68,0.9235727594715727,-3.8972366967539194,-0.7162620934575247,-0.31498672643278963,-0.1326324208255967,-0.2238392856171067,-0.13371568997662694,-0.004522743975140774,-0.003385367282282835,0.003282,0.01,0.0,0.97,100,10,1,11
69,0.9235372006100934,-3.9095908845658345,-0.7225520025133297,-0.31768815228565933,-0.13385639680164207,-0.22577294777692145,-0.13493753525630045,-0.0045591610969495855,-0.0034132233383869903,0.00325,0.01,0.0,0.97,100,10,1,11
70,0.9239861731725825,-3.9216276280368683,-0.7287447001227103,-0.32037328303254536,-0.13501435809337659,-0.22768604334077497,-0.13602919065106692,-0.004599688629329674,-0.0034420313347481146,0.003219,0.01,0.0,0.97,100,10,1,11
71,0.926229919259123,-3.9332273589693534,-0.7345805110309948,-0.32286921865005536,-0.13609116998821744,-0.2295208157627508,-0.13710698757991036,-0.004627605306487718,-0.003474013228065407,0.003188,0.01,0.0,0.97,100,10,1,11
72,0.9254046446164673,-3.944820242263023,-0.7404587186791302,-0.325452114293497,-0.13714199458126347,-0.23133311490079045,-0.13816935344302916,-0.004664809976482393,-0.0035038877613620604,0.003157,0.01,0.0,0.97,100,10,1,11
73,0.9257025406024665,-3.95616242528432,-0.7461699331598831,-0.32801749074601527,-0.13805125352605313,-0.23312085499358948,-0.13908811811304825,-0.0047151969431413554,-0.003534675221364171,0.003128,0.01,0.0,0.97,100,10,1,11
74,0.9255709383504911,-3.967253475171016,-0.7518131233145859,-0.33050263157040094,-0.13905904936882085,-0.2349127579147828,-0.14020029524729044,-0.004754343943598395,-0.003560688183088152,0.003098,0.01,0.0,0.97,100,11,1,12
75,0.9238038683406854,-3.9786925263034325,-0.7576092306399309,-0.3331110370179505,-0.14002890362075218,-0.23677077786021272,-0.14120945193735632,-0.004798689550663969,-0.003587630367554526,0.00307,0.01,0.0,0.97,100,10,1,11
76,0.9257931924723147,-3.9896119839216135,-0.7632989896256214,-0.3355444373580573,-0.14113949668179646,-0.2384916597955469,-0.1422867263828647,-0.0048301668928521,-0.0036114435485238966,0.003042,0.01,0.0,0.97,100,10,1,11
77,0.9210297994460573,-4.001525245651006,-0.7695111119063474,-0.3383076167769455,-0.14230175295922098,-0.24040698716247016,-0.1434216557835437,-0.004874118767627634,-0.003636273328162293,0.003014,0.01,0.0,0.97,100,10,1,11
78,0.9213651097563024,-4.011864353899883,-0.7749241144457617,-0.34082363189517834,-0.14322742429670235,-0.24220215938138073,-0.14448334946610458,-0.004913699155925909,-0.0036640502571661042,0.002987,0.01,0.0,0.97,100,11,1,12
79,0.9251745756664458,-4.022565523653031,-0.7803678955641339,-0.34312132411483726,-0.14428014845040427,-0.24380153217062353,-0.1454402139048729,-0.004946242993969232,-0.0036873233299825783,0.00296,0.01,0.0,0.97,100,10,1,11
80,0.9269332796078036,-4.033010334727478,-0.7857002595703789,-0.3453951527064411,-0.1453141524632285,-0.2454480662796251,-0.1464314806876394,-0.004973817186183259,-0.0037090358045316816,0.002934,0.01,0.0,0.97,100,10,1,11
81,0.9306603773584906,-4.042664791817202,-0.7905739620863341,-0.3474529132753029,-0.14628313215211106,-0.2469175242149751,-0.14741160731866684,-0.00499745597409277,-0.0037317798255394135,0.002909,0.01,0.0,0.97,100,10,1,11
82,0.9258654089109745,-4.05310688978438,-0.7958770461763509,-0.3497705761212841,-0.14730069890072267,-0.248637532077555,-0.1485378897993853,-0.005027513006820477,-0.003759965105527103,0.002883,0.01,0.0,0.97,100,10,1,11
83,0.9191438563454166,-4.064582463385094,-0.8019472286479294,-0.3524279633786027,-0.14842999052258127,-0.25046836753558527,-0.14966153981321556,-0.0050671931833487505,-0.0037890491137001383,0.002859,0.01,0.0,0.97,100,10,1,11
84,0.9218869429397494,-4.075667527409785,-0.8076211541608422,-0.3549238111893228,-0.14948083748600122,-0.2522109021511153,-0.1506806804681336,-0.0051089347488681375,-0.0038140550389274214,0.002834,0.01,0.0,0.97,100,10,1,11
85,0.9249020534990543,-4.085925748806115,-0.8127653246160783,-0.3571662788925699,-0.15036350288698902,-0.25385397595101683,-0.15162453737598494,-0.0051342695949641295,-0.0038422846958197244,0.00281,0.01,0.0,0.97,100,10,1,11
86,0.9204690071776425,-4.096504171537932,-0.8181595569269839,-0.35958890960561035,-0.15128520692518346,-0.25555497960645956,-0.15260014829171925,-0.005181576450469091,-0.003863020759155175,0.002787,0.01,0.0,0.97,100,11,1,12
87,0.9229037136615694,-4.106984100373162,-0.8235923762298545,-0.3619151773957561,-0.1523692029646046,-0.25716294603256523,-0.15360808788457503,-0.0052125486994238765,-0.0038850635111745903,0.002763,0.01,0.0,0.97,100,10,1,11
88,0.929785761315483,-4.116168262833769,-0.8282397566696189,-0.3639109956840481,-0.15323628179478965,-0.2585269619563171,-0.15443871842033915,-0.005242106437811024,-0.0039050789580001273,0.002741,0.01,0.0,0.97,100,10,1,11
89,0.9200276755881063,-4.12683320814027,-0.8336223972580035,-0.36626459597094546,-0.15418693415164364,-0.2601487879513473,-0.1553714484227335,-0.005281136190964044,-0.003929552634143867,0.002718,0.01,0.0,0.97,100,10,1,11
90,0.9304387246260011,-4.130356340779936,-0.8355689452742865,-0.3676373419571375,-0.15444862036498785,-0.2614833590820204,-0.15615943906072,-0.005300021128781528,-0.003944048404041724,0.002696,0.01,0.0,0.97,100,11,1,12
91,0.9275975234293061,-4.139638445793826,-0.8403264796101098,-0.3697454394510083,-0.15528012358520246,-0.2629390503891002,-0.15699294402987482,-0.005325026666735732,-0.003967336831402811,0.002674,0.01,0.0,0.97,100,10,1,11
92,0.9297154381980577,-4.148491174898179,-0.8448148044909831,-0.37165993586315527,-0.15614628892772148,-0.2642991783842004,-0.1578387099751426,-0.005350068635273965,-0.003985653100360669,0.002653,0.01,0.0,0.97,100,10,1,11
93,0.9243072500584951,-4.158271535326532,-0.8498330297846357,-0.37381080172519815,-0.15708743018037125,-0.26581844728835624,-0.15877549865745433,-0.005382675003324525,-0.004007675809329431,0.002632,0.01,0.0,0.97,100,10,1,11
94,0.9282666847255612,-4.167203203493012,-0.854407876325873,-0.3757984091601104,-0.15791548222411428,-0.2672126181249959,-0.15966385998544905,-0.005408332928159056,-0.004029262321265648,0.002611,0.01,0.0,0.97,100,10,1,11
95,0.9255338779755414,-4.176543541996024,-0.8591268064310227,-0.3778471929406452,-0.15874442226565336,-0.26861060624399524,-0.16048824841073517,-0.00544080218035842,-0.004053075428319825,0.002591,0.01,0.0,0.97,100,11,0,11
96,0.9190266308661365,-4.186701328939409,-0.8644161334427284,-0.3802219533223964,-0.15967257387300965,-0.2702793589261415,-0.16136168267898396,-0.005481895785681675,-0.004078073596017845,0.002571,0.01,0.0,0.97,100,10,1,11
97,0.923098880064476,-4.196306793551637,-0.869364304216957,-0.38237195580571354,-0.16060875273882794,-0.2717967075126489,-0.16230492724256265,-0.005511626340316253,-0.004099655146903688,0.002551,0.01,0.0,0.97,100,10,1,11
98,0.9261911179998652,-4.205303503454491,-0.8740635088707587,-0.3844793377024299,-0.16144991934331707,-0.27320548552751533,-0.16308307165569452,-0.005546565965003908,-0.004122688314064126,0.002532,0.01,0.0,0.97,100,10,1,11
99,0.9274328788007115,-4.214002037576539,-0.8784992912511042,-0.3864032034455902,-0.1622789266755479,-0.27461452973167333,-0.163966246072857,-0.005571349087893379,-0.004151213112052137,0.002513,0.01,0.0,0.97,100,10,1,11
100,0.9219289899343983,-4.222864011835,-0.8829878412655292,-0.38853098451458784,-0.16303240621935172,-0.276173116846491,-0.16485457477790635,-0.005605395678869302,-0.004175548298692975,0.002494,0.01,0.0,0.97,100,11,1,12
101,0.9243928800621475,-4.231890623616992,-0.8876350946192372,-0.3905676031214402,-0.16389384763800438,-0.27758285158615514,-0.16574881190854215,-0.005632411871633099,-0.0042015723903489335,0.002475,0.01,0.0,0.97,100,10,1,11
102,0.9268558403030354,-4.24056977623716,-0.8920536823396209,-0.39244796577307944,-0.16472324534426042,-0.2788736928160697,-0.16660168594823654,-0.005658137302390146,-0.004222975483547586,0.002457,0.01,0.0,0.97,100,10,1,11
103,0.9345867076943886,-4.247990049091022,-0.8957974525932942,-0.3940950201278234,-0.16541524163073254,-0.28006166986114506,-0.1672953492667912,-0.005679388220764709,-0.004239383080045917,0.002439,0.01,0.0,0.97,100,10,1,11
104,0.9260333696654649,-4.256686365523001,-0.9002759695357927,-0.3960505756979058,-0.16625404560249882,-0.2813921886109222,-0.16813948058784492,-0.0057084240801393606,-0.004257475812831339,0.002421,0.01,0.0,0.97,100,10,1,11
105,0.9249090362853423,-4.265504509372924,-0.9048342201988342,-0.39805694297972727,-0.16710910154125677,-0.2828340065629722,-0.16901981810090255,-0.005735782980875699,-0.004279588819282184,0.002404,0.01,0.0,0.97,100,10,1,11
106,0.925441785744483,-4.272843087337418,-0.9086600352539242,-0.39987345681671327,-0.16773771003779345,-0.2841553436997085,-0.16975646361489194,-0.005771247288799924,-0.004297819405366954,0.002386,0.01,0.0,0.97,100,11,1,12
107,0.9241714208095626,-4.281480240853653,-0.9131110149121664,-0.4018196962649372,-0.16857641662668033,-0.28559832836166793,-0.17059241781975534,-0.005803571197701395,-0.004317758695925298,0.002369,0.01,0.0,0.97,100,10,1,11
108,0.9223367239915428,-4.289430383784018,-0.9172854243718237,-0.40381821383876804,-0.1693366034794134,-0.28706937812742767,-0.17144009994797008,-0.005838850816284305,-0.004339019502182837,0.002352,0.01,0.0,0.97,100,11,1,12
109,0.9262077538130753,-4.2977297073801575,-0.9215203312201483,-0.40564745567747407,-0.17010673871907442,-0.28834462256798493,-0.17218679803137593,-0.005864461546230019,-0.004359248760248646,0.002336,0.01,0.0,0.97,100,10,1,11
110,0.9277187658067779,-4.30572305840773,-0.925625320504652,-0.4074265376747114,-0.17087412549557962,-0.28956809065946326,-0.17293589279560653,-0.005893296181426372,-0.0043745088235681425,0.00232,0.01,0.0,0.97,100,11,0,11
111,0.9236887178008785,-4.31410568871514,-0.9298934003935654,-0.4093271017584119,-0.17162079449604645,-0.2909045825279177,-0.1737409855927063,-0.005918420463265462,-0.004401930911126354,0.002304,0.01,0.0,0.97,100,10,1,11
112,0.925137189749786,-4.322325630292042,-0.9340984235185293,-0.41110907549711034,-0.17240172071082274,-0.2920700265307569,-0.17450054415636368,-0.005941253852294948,-0.004422367547978526,0.002288,0.01,0.0,0.97,100,11,0,11
113,0.9273054199845877,-4.330044449948538,-0.9380015245440021,-0.4128166403409932,-0.1731037947636919,-0.29327697449174694,-0.17523060801518972,-0.005972448887889195,-0.0044417430694805755,0.002272,0.01,0.0,0.97,100,10,1,11
114,0.9237723926998958,-4.338341092424798,-0.942309909539003,-0.4146768366328579,-0.1739132713091149,-0.2945774040402685,-0.17601189387405586,-0.005998421001892766,-0.004460657913002227,0.002257,0.01,0.0,0.97,100,10,1,11
115,0.9291829187984398,-4.345825312371575,-0.9461536260489172,-0.41633721992515804,-0.1746168150370867,-0.29576936713002167,-0.17663445887560006,-0.0060278962617330185,-0.004473953950760336,0.002241,0.01,0.0,0.97,100,10,1,11
116,0.9253069750853417,-4.35370460190756,-0.9501373834107106,-0.41808851552156157,-0.17535360007276476,-0.2970223458993743,-0.17738220759669435,-0.0060554247056041,-0.004495163821359056,0.002226,0.01,0.0,0.97,100,10,1,11
117,0.9225818377361027,-4.361988380571575,-0.9544069128141938,-0.4200215711170655,-0.17606704875871884,-0.29836597055771075,-0.17809519856933873,-0.006090984920707813,-0.0045169624272461475,0.002212,0.01,0.0,0.97,100,10,1,11
